id,text,label
emot-train-1589,"Bicaranna Mr Roger Tol (Balanda) passala karangang pangissengang ni Indinesia. Wow… gammara’na di, anne bangsayya nia 700 basa.. Ckckckck. #seminarpanji #sastra [USERNAME] [URL]",happy
emot-train-1154,"Pakamallaki dii?! Ero’ja akkana, sannang kulle assengki cika. Manna mamo jai kodinu na kabajikannu (Hahaha) Mingka kukasiaki punna siagang antu tena na te’ne rasanna punna kabajikang tonji nitarima : ) [URL]",happy
emot-train-683,Otaka punna anu dongo' memang mo na niurangi akkana temae poeng anjo sanging erokna ammeta.. ia mange ri kiri katte ke kanang katte salah...kamma tonji sebalikna sanging katte salah. Passalingangna katte amminawang ia berupi tojeng-tojeng mingka biasayya pole punna niak kija katteji poeng salah. BATTU RI KAU DEH ...,anger
emot-train-720,"singka' carita, sika'na yang riolo dinging, cue', pa'ngai sassang, sanna sannang na, siagang pa'larroang na a'barubai anjari paboya perhatiang, ca'di pa'mai, a'warna, a'karismai, jai baine na, manna kukana anne kale-kalenna yang sikopa'ka ricini' nassai.",fear
emot-train-146,"ammaca anne anjari a malla' :( padahal pakeangku allo allo syar'i mi, jilbab annongko barambang tulusu' ammake rok.",fear
emot-train-230,Makkalajja ciniki wkwk,happy
emot-train-2809,"Ketika tau cara'deka a'bicara a'balu agama assala ni pilei atau ni dukungi anjo tandana tena na mampu, tena na bernalar, tena daya kreasi!! "" udahkammamoanjo [URL]",anger
emot-train-2357,"Kosanga rampi’na kantoroka, nampa tuli riboko battu, punna tinro loroi napalassuji kalenna ri sofayya. Annemi agang kantoroka baji nikanai tai.",anger
emot-train-1603,"Kemaeki ero accarita punna kammami anne? Panrami anne tallasaka mikkirri anne tekamma atingku simpungi, ngarrukka sagenna matti je’ne matayya singkamma kelonna sayang pia palen wkwkw",sadness
emot-train-17,"bare cenggere' turusi , siagang paling parallu tulusu' tutu siagang angngai i [USERNAME], manna nake followers beru mingka akkulle tawwa assisseng nasaba akkalabine tawwa katte akkalabine kungaiko",love
emot-validation-395,"Serial pakakkalaka taung 2013, sekreji season. caritana baine-bainea tulolo kinjai na nikka siagang duda 3 anak, biasana malah rua baine riolona a'nassai todo' ri ballak. sepele dudu toje' ",happy
