id,text,label
emot-test-4,"Selamat pak [USERNAME] resmi jadi bapak, sekedar saran sering sering si jagoan dikasih dengar lagu YNWA samo tonton pertandingan Liverpool... Biar ngerti sejarah dan kesetiaan haha",happy
emot-validation-196,"spontan nyoloke flash hp trus nyari tisu buat lap. idak lupo sebelumnyo ku senteri bagian pucuk kamar sejajar samo lokasi tetesan, dak ngatek apo2. Nak njingok bekas lap ditisu takut, pas tak beranike njingok, untunglah cumak aer biaso. karno lagi flu , dak pacak pulo nak nyium baunyo.",fear
emot-train-2150,"dak usah nyalahke siapo-siapi , segalo keburukan yg menimpo kau tuh karno kau bange dan salah kau dewek . ini bukan nag ngatoi , tapi ngingetke leras biar agek pacak lebeh pinter , jadilah",anger
emot-train-699,"Gara2 kapan ari tu ngopi sambel ngedengerke lagu jamn Sd mecak tangga, ello, andien, audy. Trus sekarang bikin playlist lagu lagi yg seangkatan 2004-2005",happy
emot-validation-133,"setuju nian ca, Yuk Ika! Auranya udahlah pleng pas. Kualitas aktingnyo dak perlu dipertanyoke. Ditambah dak tau caca ni ado aponyo, tapi jd gemes bae amen jd Alex yg galak tapi penyayang tapi cantik tapi sibuk tapi amsih sanggup ngehadepinyo",happy
emot-train-2997,oyy... aqilah cinto ati aku.. oy.. #Aqilah aku omongke aku sayang kau... terbaeklahh,love
emot-train-174,"untuk hiburan , bacolah ini trus lanjotke ngebaco tweet-tweet receh di #OldMoneyDakNgerasoke. Ternyato idup aku dak lebeh dr remahan rengginang. Mecak uwong yg makan di Kfc bae ngapo nian nak pamer di stori hahahah. Aku sungkan [USERNAME] [USERNAME] [URL]",happy
emot-train-1434,"padahal aku lah ngechat dio, simpen no aki. trus aku ganti mo pas di haru ultah aku. sedih nian . dll. trus dak pacak sikok ruangan pas ujian it 1 jam kurang , karno lah campor adok salting aku keluar duluan ",sadness
emot-train-2340,"Ado korban #pelecehan berani ngomong malah di hino, diomongke  belebihan sedihnyo, dak sedikit budak betino yang melok-melok nyinyir. mecaknyo keliatan tebiaso dikirimin foto titit lah, empati ontok sesamo betino jadi dak ado. #JagoViaVallen",anger
emot-train-3349,"Isu Kristenisasi itu samo bae dengan isu bangkitnyo PKI. Ngatek data , minim fakta samo amen ado dak lebih dari pembingkaian di luar konteks! Isu yang dibuat untuk mbangkitke hantu demi keuntungan politis samo ekonomis . tahayul samo bahlul!!",anger
emot-train-1105,"saran aku samo DPRRI, terbitkelah lagi UU yang ngatur tentang hukuman mati atau seumur idup buat yang ngelakuke koruptor baek yg nilai rupiahnyo besak apopun kecik disamoke, mangko ado efek jero buat koruptor trus jangan ado toleransinyo",anger
emot-train-1801,"Alhamdulillaaah ya Alloh kau lah ngasih aku kesempatan buat ngasih dikit kebanggaan samo uwong tuo aku yang selalu ngasih doa dan kasih sayangnyo untuk aku . Semoga ageknyo doa pacak ngasih banyak kebahagiaan untuk kalian mak , pak",happy
emot-train-1506,"Yaallah kasih dio pacar baru, yang nerimo yang gemati yang dak pelit yang galak bayari makan yang galak ngajak duluan yang dak ringam . Biar saket atinyo ilang. amin ",sadness
emot-test-409,"Lanang ini ngeri jugo ye, selaen ekspresinyo serem  caro ngomong yang keluar jugo menohok nian. Ah baek-baeklah etto iie Juvia cumak mastike kalo dak salah uwong",fear
emot-train-342,"#PWBanget MEMANG LAEN . . Viral curhatan Personal Assistant Konglomeratnyo Indonesia yang diposting di akun twitter nyo, asli baru kebuka galo pikiran kito tentang wong kayo yang ternyato idak sombong loh [URL]",happy
emot-train-3337,"paleng males amen lah jingok uwong ngomong komen laen laennyo mecak lah bener suci dari pucuk sampek bawah tapi zonk :)) agek amen nyinyir jawabanyo "" hijrah tu gampang , cuman nak istiqomahnyo yg saro "" iyo ngerti,intinyo jijik bae jilbaban kok musiman dulu kemano ? ke mall? ke clubbing? . *curhatanpenuh* maap ",anger
emot-test-431,"Innalillahiwainna ilahi rojij'un Pak Undang Dasuki, salah sikok dosen terbaek lah meninggal. semangatnyo harus pacak ditiru oleh siapo bae yg kenal dio.",sadness
emot-train-1202,"[USERNAME] Aku :( Aku takot madai samo jalanan rame , nyalinyo cepet ciut. Tapi amen kepepetttt nian, aku paksoke yo pacak cuma masih kaku mak itu :""(",fear
emot-validation-3,[USERNAME] selamat siang sahabat Pos. kiriman tersebot sudah diterimo yo sahabat. terimo Kasih lah mempercayoke dan menggunake layanan kami :)  ^FD [URL],happy
emot-train-2505,[USERNAME] aku ni seneng gangguin uwong tapi dionyo malu malu galak wkwk pas nawari makanan ke seisi kelas trus dio ngomong 'suapin lah ujinyo kau sayang samo aku' yosudah aku shock tapi seneng haha,happy
emot-train-2124,"lemak yo metal bong... tedok di penjaro Dipecat mak Mega Hahahahahah Mangkonyo jamgan nak cak metal kau kelar idup kau... Tejerat OTT , PDIP pecat Bupati Purbalingga [URL] lewat [ USERNAME]",anger
emot-train-1310,"dak disegalo tempat kito pacak ngalaksanoke sholat, salah sikoknyo dibangunan yg didirike untuk kekafiran ( salah sikoknyo gerejo ). Aku belindung samo ALLAH SWT . dr godaan setan yg takutuk",fear
