id,text,label
indolem-train-3385,Lemarinyo kamar yo tolong biar dak katek debu samo banyak remah remah bangunan ,negative
indolem-test-158,"Pasti Monoers lah idak aseng lagi samo lagu sadis punyo Afgan! iyo , taun ini afgan jugo ngerameke Java Jazz 2015 http://www.m-indo.com/music/clipafgan-sadis/ ?",positive
indolem-train-3237,"MediPutra ; PDIP Dinilai Aneh bilo Terimo Badrodin Kapolri: INILAHCOM, Jakarta - Anggot... http://bit.ly/1Lp6W0d  http://fb.me/mediputra.sh",negative
indolem-train-3555,"yaalohhh #mantan @yunartowijaya: Oohhh... """"@kompascom: Demokrat protes kepalak KPK usulan SBY idak dipilih jokowi http://kom.ps/AFploc",negative
indolem-test-901,Balita ini Mati pas nak pegi ke tempat penitipan http://goog.gl/6cRQlx,negative
indolem-test-966,"barang aku ketinggalan dikamar pas aku nak checkout, aku baru keinget dijalan kalo kalung anaku ketinggalan di toilet. pas itu aku betanyo ke petugas housekeeping yang mbersihke kamar aku sebelumnyo, dio ngomkng idak iingok, pdahal jelas nian aku inget naroknyo dikamar mandi disamping keran wastafel. aku tanyo ke fo malah kayak saling nutupi.",negative
indolem-train-1684,nyaman cuma sayang AC nyo bocor parah,negative
indolem-train-327," Jangan nyesel apo yg lah pegi . kau mungkin keilangan sesuatu yg baek, tapi mungkin kau dpetke sesuatu yg lebih bain lagi",positive
indolem-train-3249,"kamar jadilah nyaman dan rapi sesuai samo hargo, tapi sayang ngatek disedioke tempat sampah, tissue samo anduk, keset lantai kotor nian mecak lah dipake sebelomnyo samo tamu ( dak diganti) kamar mandinyo jugo kotor",negative
indolem-train-3019,ranbut Akim ni contoh rambut paleng disenengi buat di potong samo cekgu disiplin amen dekat sekolah. selekeh mecak pengemes ,negative
indolem-train-2858,"PDIP dinilai Aneh amen nerimo Badrodin Kapolri: INILAHCOM, Jakrta -Anggota Komisi III DPR Fraksi Golkar, Bam... http://bit.lu/1Lp73ZP",negative
indolem-train-2658,"channel televisi kosong, dan antenanyo kurang bagus makonyo gambar jelek nian. saran ontok pasang tv kabel bae..informasi deposit kurang jelas kalo ontok ambek harus nyertake bon, awalnyo dioomng cuma serhke kunci mako deposit di kembalike",negative
indolem-train-984,"Partai Demokrat Ngedukung RUU otsus Papua jadi Undang undang,kito ngedukung rakyat papua maju @ PDemokrat http://www.beritasatu.com/nasional/252744-demokrat-terima-kunjungan-majelis-rakyat-ppua.html ?",positive
