id,text,label
indolem-test-355,"Abis disautin diapus, temen macem ape ? Aye megang hape sebelah ini http://ask.fm/a/bo26h59f  ",negative
indolem-train-37,"Kebeneran kantor lagi libur lebaran cine, waktu nyang pas buat ngelakuin hal kecil sebagai bentuk? (w/ Vivien) [pic] ? https://path.com/p/4jm49v ",positive
indolem-train-255,"udah kê 2x nyah nginêp di marih,dan masing sama pangkèngnyah rêsik AC adêm,tibang sayang tipinyah masing bintik-bintik ama salurannyah tibang 2 sih hhèhhèè, jadi ora bisa nonton tipi gè, sêlaèn onoh sih okè sêmuah",positive
indolem-validation-61,"#paktasahabat die nyang iklas balek kolah telat cume buat ngrumpi , curhet dan ngocehin nyang kagak jelas ",positive
indolem-train-287,"ampir sempurne pasilitas hotel mirip apartemen, cume kuwalitas tipi butut. laen-laennye gambar, meja gawe, dapur kecil, sumur ok banget, dipan kerasan resik, anduk arum resik",positive
indolem-train-354,Bidang Wadon Golkar Makassar Dibêkêlin Èlmu Kêprotokolèran : http://fajar.co.id/fajaronline-sulsel/2015/02/21/bidang-perempuan-golkar-makassar-dibekali-ilmu-keprotokoleran.html ?,positive
indolem-train-2269,"aye udeh brapa kali gunain konci tempel pangkeng otel inih jauh banget dari dugaan dan kagak sesuai banget ama deskripsi dan poto di aplikasinye, bahkan embel-embelan airynye kagak ade pisan, kagak ade aer anget, pankeng engap dan cebrik, inih anduk malah mirip pisan ama keset, jadi kawatir ama airy ....",negative
indolem-train-3019,rambut Akim ini contoh rambut kedemenan bakal kena cukur ame guru disiplin kalo deket sekoleh. acak adul kayak gelandangan.,negative
indolem-train-3440,Pintu jamban kaagak berpungsi. Anduk kagak ade kalo kagak di minta.tipi nye kagak idup.pelayanannye kureng.,negative
indolem-train-3444,Aye gagal nginep karne listri kagak idup. pelayanan kureng ajer. ,negative
indolem-train-6,"Wadon ntu tebang pengen die dijadiin berharge dimate lakinye, bisa selalu ngejage die ama mao nemenin die kemana ge dia pegih. :')",positive
indolem-train-124,Besok make pakean nyang cakep.. Ama pakean nyang kembaran ama anggote-anggote tim K3 ?,positive
indolem-test-188,#Teknologi Demokrat nilai keputusan presiden ngasih keyakinan http://dlvr.it/8dTLwl  #Assadiqulhaq,positive
indolem-train-1278,"Pulpen, penjepit,cap BPJS dan kertas pendatean pasien hanye itu nyang nemenin ari-ari gue di kantor hahaha :) http://instagram.com/p/zWxGqDikmw/ ",negative
