id,text,label
emot-train-1589,"Ajaran Pak Roger Tol (Walanda) babagan dunya pernaskahan neng Indonesia. Wow... Apik tenan ya, nagara iki jebul duwe 700 basa.. Ckckckck. #seminarpanji #sastra [USERNAME] [URL]",happy
emot-train-1154,"Cringe pol yo?! Hahaha. Mok ate ngomong, seneng iso kenal ambek awakmu bro. Yo masio kekuranganmu luweh akeh timbang kelebihanmu (Hahaha) Tapi aku sadar nag kekoncoan iki ora legi rasane nak mok nerimo keluwehan wae :) [URL]",happy
emot-train-683,Utek kuwi nek pancen goblok arep diajak rembugan piye wae njaluke menang terus...wonge ngiwo kene nengen ya kene sing salah...sewalike uga adhewe sing saah terus...kajaba yen adhewe melu dheweke lha lagi bener kuwi wae nek ana masalah panggah adhewe sing disalahke...KAREPMULAH ...,anger
emot-train-720,"intine, dhe'e biyen sing cuek, luwehan, seneng peteng, menengan, lan nesunan makbedunduk malik dadi caper, andhap asor, werna-werni, karismatik, play boy ngono, malah nek ngaranku psikopate tambah ketok cetha.",fear
emot-train-146,"Moco iki aku dadi wedi :( padal pakaianku syar'i sak ben dino, kerudung nutup dodo ambek gawe rok terus.",fear
emot-train-230,ngakak aku ndeloke wkwk,happy
emot-train-2809,"Nalika politisi ngomong dodolan agama ben dipilih utawa didhukung....iku tandhane ora mampu, ora mikir, ora duwe upaya kreasi!! #wisngonowae [URL]",anger
emot-train-2357,"Cedhak kantor, teka paling keri, banjur yen awang turu meneh slonjoran ing sofa. Kanca kantor kaya ngene pancen prelu dilokke tai sih",anger
emot-train-1603,"Arep crita karo sapa yen wis mangkene? remuk urip iki mbok pikir piye sedhihe atiku, aku nanges nganthi eluh mripat iki kayata lirik lagune sayang pia palen deh wkwk",sadness
emot-train-17,"Muga sehat terus, lan sing paling penting tansah sayang lan tresno marang [USERNAME] sanadyan aku followers anyar tapi adhewe isa kenal merga adhewe kaluwarga adhewe keluarga aku tresna kowe",love
emot-validation-395,"serial komedi taun 2013, mung 1 musum. critane mbak-mbak sing isih enom rabi karo duda anak 3, sok-sok malah 2 mantan bojone ya ngumpul neng ngomah. receh tenan pol",happy
emot-train-1567,"Aku nganakake partemon apik banget karo presidhen [USERNAME] lan karo ati seneng ngancani jero kunjungan blukusan (dadakan) ning masyarakat, nulis Lagarde jero status Twitter-e #Jokowi2Periode",happy
emot-train-2452,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] duwe cita-cita dadi JONGOS, pola pikire sewates karo piye carane NGEJONGOSKE awak nganggo api dadi menurutku kapasitase uteke ora mumpuni nggo nampung cara pikir sing ditulisi karo [USERNAME]",anger
emot-train-3127,[USERNAME] Percaya a....saben ana alangan mesthi bakal ana hikmahe...iku kanggo nguji isa tekan endi awakedhewe nglakonine...,happy
emot-train-1182,"[USERNAME] Nek neng Pilkada wae foto panas iso nyebabke wong ngundurke diri, dadi mesthine neng Indonesian Idol yo kudu mundur. Opo meneh iki neng rupo video",anger
emot-test-89,"Jaman biyen fotografer isih arang nanggo Photoshop, foto sing akeh micine akeh sing seneng. Saiki bar akeh aplikasi Photoshop sing kabeh wong is ngunduh gratis neng HP, wong wis mulai mukok delok foto sing kakean micin",sadness
emot-train-2649,"bener sih, nang nggonku ana 3 gerejo, urung nate aku ndelok ngenekne imunisasi kanggo bocah-bocahe, lan ing kelenteng uga padha, ora ana.. Ngeri banget Depopulasi... [URL]",fear
emot-train-1159,Wes 7 tahun nag jero uripku kebek ambek awake terus nag njero eripe yo paling kebek ambek uripku. Uripe awak dewek mlaku karo roso bahagia kanggo aku tapi mungkin monoton gawe ibumu. Aku ngerti kadang ono waktu sing garai bosen kanggo awake deke ambek deke sing pengen mereh teko aku. aku ngerti tanpo deke kudu ngomong,sadness
emot-validation-262,"Dadi critane adekku njilih buku paket menyang mantan mbakyu/mas kelas sing wis lulus lan ora sengaja nemokake kertas ing sawijining halaman pas adekku maca ngomong eh mba iki layang tresna, banjur tak waca nganggo swara",happy
emot-train-3053,"Dee delehke driji telunjuk neng jidatku ""makane! Tuku susu kui diombe, vitamine ojo keliwat! Kan ribet nek meh malku neng tempat umum ning kowene lagi mlaku 5 menit wis kliyengan"" Aku",anger
emot-train-1845,"Saya dewasa awakmu, saya males awakmu karo kahanan sing kakean akeh drama. Kancanan kebeg drama, hubungan asmara kebeg drama. Sebab awakmu eruh, garapanmu luwih penting timbang kabeh drama-drama nggarai kesel iku. *Boycandra",sadness
emot-train-340,"jenis wong sing garai males ket awitan ketemu yaiku sing senenge pol nyobongno awake dewe. Yo paling sak benere polahe deke ora pede, dadi butuh pengakuan. Tapi malese pol ngomong karo wong koyok ngene, masio deke ayu/gantenge pol?",anger
emot-train-705,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Duet maut sanajan bintang bal-balan Belgia Hazard, Lukaku.padha-padha nggenepi lan nglayani kanthi ngraih kamenangan..",happy
emot-train-3479,"[USERNAME] Sampek kapan ya,,terus apa kompensasi kanggo pelanggan karo kahanan iki, layanan speed pada ae malah jaringan kerep lemot padahal kewajiban tagihan dibayar pas wektune [USERNAME]",anger
emot-train-242,Sakuntara aku ngono keweden gawe nerusake hubunganku tumuju sing serius lan malah mutuske gawe pisah saka lanangan sing sayang tenan karo aku,fear
emot-train-1088,"Slamet ya ing mangsa kapisan Komuni Pembaptisan, Xellent. Mama, Papa, Ompung,Unty, Tulang, Bou, Uda Xaviera bungah banget bisa teka lan ngancani kowe ing dina spesial iki. Mugya Xellent  tuwuh dadi bocah sing ndemenakke atining Gusti dadi Saluran Berkat kanggo okeh uwong. [URL]",happy
emot-train-796,[USERNAME] min pengajuan reksa danaku wis disetujuni tanggal 28/05. Nanging ora entuk kupon kertu bebungah. Delok ing email uga ora ana [URL],anger
emot-train-1219,"Ngelih neng stasiun. Tuku paket es teh + Roti'O lan lungguh nyambi nyruput es teh, senadyan neng jejer ono wong-wong podho salat. Aku ngeroso koyo setan",sadness
emot-train-61,"[USERNAME] [USERNAME] Sabar terus hehehee, ora padha ora ngerti nek padha ngerti aku wis diwejangi ngalor ngidul mengko dikira aku ora sayang Allah lah, dil:(",sadness
emot-train-2856,[USERNAME] Aku udu ngantrine sih ya ning ngenteni tandha tangan wadek akademik iki masyaAllah tenan ya. Durung meneh nek sing panggon duwe urusan wis teka. Ya apa meneh iki wulan pasa teka telat mulih gasik hmmm,anger
emot-train-3069,"[askmf] Aku MABA, aku termasuk wong sing angel golek konco. Lagek wingi aku gabung karo grup fakultas padal grup iku wes ono ket biyen. Aku bingung, gak iso melok nimbrung ngomong polahe durung ngerti opo-opo. Aku dadi wedi nag sesok aku gak duwe konco. Aku kudu piye",fear
emot-train-2646,"[USERNAME] Mergo menungso dengki lan buruk meh koyo kowe rusak negoro bangga dadi aktivis ning bodo bubarke Golkar, target kok sopir tok endi kenderaan politike isih merajalela",anger
