id,text,label
emot-train-1589,"Materi Mr Roger Tol (Lande) tentang dunie pernaskahan di Indonesia. Wow... Keren banget ye, negare kite nyatenye punye 700 bahase.. Ckckckck. #seminarpanji #sastra [USERNAME] [URL]",happy
emot-train-1154,"Jember banget ye?! Hahaha. Cuman mao bilang, seneng bise kenal ama lu bro. Yaa bagen ge kekurangan lu lebih banyak ketimbang kelebian lu (Hahaha) Tapi aye sadar kalo persahabatan eni kaga manis rasenye kalo tibang nerime kelebian aje :) [URL]",happy
emot-train-683,Otak kalo emang udeh bego mao diajak ngomong kemanepun slalu die nyang mao menang...di ke kiri kite ke kanan kite kagak bener...sebaliknye juge kite nyang saleh mulu...kecuali kite ngikut die baru bener tapi kadang ntu pun kalo ade masalah juge kite nyang dituduh...SERAH ELUH DEH ...,anger
emot-train-720,"singkat cêritè, sikap diè nyang dulunyè dingin, cuèk, cintè gêlap, pêndiêm abis, dan pêmarèh ujug ujug bêrobah jadi capêr, sêdêrhanè, bêwarnè, karismatik, gadun gono, malèh kalo mênurut ayè pribadi psikopatnyè mangkin kêliatan danta.",fear
emot-train-146,"Bace eni aye jadi ngeri:( pedahal pakean aye seari-ari juga udeh syari, kerudung nutup dade ama selalu make rok.",fear
emot-train-230,ngakak aye lietnye wkwk,happy
emot-train-2809,"Waktu orang politik bebacot jual agame biar dipilih atau didukung....ntu tandenye kagak mampu, kagak ngotak, kagak rosa kreasinye!! #udahgituaje [URL] ",anger
emot-train-2357,"Kosan deket kantor, dateng paling lame, trus kalo siang pules juge selonjoran di bangku. Temen kantor aye ginih emang perlu dikatein eek sih.",anger
emot-train-1603,"mao cêrita kê siapah kalu udah kèk bêginih? ancur idup ênih pikirin dong gimana ati guah guah sêdih, guah mèwèk ampè nètès aèr mata ênih kèknyah lirik lagu Sayang Pia Palèn dah wkwkw",sadness
emot-train-17,"Semoge sehat selalu, ame yang paling penting selalu sayang ame cinte ame [USERNAME], walao juge aye ntu pengikut baru tapi kite bise saling kenal soalnye kite keluarge kite ntu keluarge aye cinte elu",love
emot-validation-395,"sérial komédi taun 2013, tibang 1 musim. cêritanyè mpok-mpok nyang masing mudè kawin samè dudè 3 anak, kadang malèh duè mantan bininyè jugè ngumpul di rumèh. rècèh bangêt asli",happy
emot-train-1567,"Ayè ngadain pêrtêmuan amat baèk dêngan prèsidèn [USERNAME] dan dêngan sênêng ati nêmêninnyè dalêm kunjungan blusukan (dadakan) di masarakat, tulis Lagarde dalêm status Twitter-nyè #Jokowi2Périodê",happy
emot-train-2452,"[USERNAME] [USERNAME] [USERNAME] punye ngimpi jadi jongos, alur mikirnye terbates pada begimane carenye jongosin diri dengan baek jadi kalo Kate aye muatan otaknye kagak mampu buat nampung care berpikir nyang dicatetin ama [USERNAME]",anger
