id,ind_text,tgt_text
indolem-train-818,"hobi banget ngapain? ? selfie , sama mainan hp wkw belajar juga sih tapi gak keseringan bgt wkw http://ask.fm/a/c0dmqfll","hobi doma mangua? ? selfie , rap mar hp wkw marsiajar juo sih  tai inda na jotjot tu wkw http://ask.fm/a/c0dmqfll"
indolem-train-841,Thanks babes for coming @FNHaziqah_ @FtinAtighah @___szr. baju dh santek mai posing hancoq ? #HasnolAnisSolemnization,Mauliate babes for coming @FNHaziqah_ @FtinAtighah @___szr. pahean nungga bagak dongan posing hancoq ? #HasnolAnisSolemnization
indolem-test-540,"Lumayan nyaman, cuma ac kurang dingin dan kebersihan perlu ditingkatkan","Menak do nian, alai ac dang ngali jala haison porlu ditingkathon"
emot-train-1744,Dear [USERNAME] sang penerima penghargaan Travel and Tourism Awards dan Predilat LCC Bintang 4 Skytrax! Saya sdh berkali2 telpon call center dan email pengaduan ke customer care dgn nomor pengaduan 239835 dan RSV229808 kenapa complain sy tdk ditindak lanjuti??,tu [USERNAME] na manjakhon penghargaan Travel and Tourism Awards dohot Predilat LCC Bintang 4 Skytrax! Au nga marhali2 manelepon call center dohot email pengaduan tu  customer care dgn nomor pengaduan 239835 dohot RSV229808 mahua complain au molo so ditindak lanjuti??
indolem-test-157,Demokrat nilai Jokowi beri bukti bukan janji http://tinyurl.com/n73ony5,Demokrat mannilai Jokowi mangalean bukti dang parjanjian http://tinyurl.com/n73ony5
indolem-train-367,dalam gelap takkan kutinggalkan?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/2tBOp6,molo golap pe dang hutadikkon ??? Naeng tu ho do au martahan by Afgan ? https://path.com/p/2tBOp6
indolem-train-2606,"kamarnya kotor,tidak ada tissue dan tempat sampah. lampu tidur dikamar juga mati,selimutnya hanya setengah badan saja.","bilikna dorun, ndang adong tissue dohot inganan rapan. Lampu modom ni biluk pe mate, gobar holan satonga daging sambing."
indolem-train-992,Kamulah Takdirku - Single by Raffi Ahmad & Nagita Slavina https://itun.es/id/M8Jr5,Kamulah Takdirku - Single ngen Raffi Ahmad rap Nagita Slavina https://itun.es/id/M8Jr5
emot-train-248,"Wa inii ... mantep nii Wa inii, wa inii tok, dari kemarin jg belum nonton deadpool, han solo gr"" gaada temen kasian ! Dasar miskin, gapunya temen ! [URL]","Wa inii ... mantap do Wa onn, wa on do, sian na jolo ndang nonton deadpool, han solo ala ndang adong dongan asiroha 1 Dasor pogos, ndang adong dongan ! [URL]"
indolem-train-546,Cara Atur Pola Makan Bagi Ibu Menyusui Agar Cepat Turun Berat Badan http://tinyurl.com/qbbptuz,Cara Mangatur Pola Laho mangan Tu Ina-ina panarusan Asa Hatop Turun Borat ni Daging http://tinyurl.com/qbbptuz
emot-train-3261,"Hanya modal walikota Solo,bgmn mungkin bs menaklukkan belantara Jkrta.Dan disusul bs menaklukkan Nusantara.Dia sendirian?.Tanpa dukungan TAIPAN,dan media sosial,Mustahil.Konsekwensi:dikomando taipan. [URL]","Holan modal walikota Solo, dia ma mungkin boi manaluhon belantara Jkrta. Jala diihuthon boi  manaluhon Nusantara. Sahalak Ibana?.Dang adong namangihuthon sian TAIPAN,dohot media sosial,Mustahil.Konsekwensi:dikomando taipan. [URL]"
emot-train-1415,"Berada di lingkungan yang berisi orang-orang hebat itu akan menyadarkan kita betapa pentingnya upgrade diri dan jadi OUT STANDING! Salah satunya duta bahasa, kemampuan mereka itu wow bgt!","adong di humaliangni halak na malo i manyadarhon hita mansai porlu mampature diri dohot gabe OUT STANDING! tarsongon duta bahasa, hamaloan nasida tung mansai denggan hian!"
emot-test-3,"Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...","Kemerdekaan ima sasudek na di Bangsa....(Kec Yahudi, Kurdi, Catalonia, Kptik ) songon dia hita manutup mata na di jaa Yaman dohot Qatar   ima alani sahalak..."
indolem-train-2085,"yang perlu diperbaiki : pelayanan kurang ramah , perlengkapan seperti handuk,air minum snack dr airy tdk di kasih walaupun menginap lebih dr 3 !","na porlu dipature: pelayanan hurang ramah , perlengkapan songon anduk,aek minum snack ngen airy inda di lehen abope manginap lobih ngen 3 !"
indolem-test-601,televisi nyaa buremmm,televisi nai burammm
emot-train-1137,"Kepada jamaah Masjid Al Kautsar , Dikarenakan Nasi tumpeng ayam matang sebelum waktunya, maka dengan ini pengajian tafsir masjid Al Kautsar di ajukan hari ini. Aya aya wae...#Ramadhan berkah","Tu jamaah Masjid Al Kautsar , Alani Nasi tumpeng ayam masak dang tikkina dope, alanii pengajian tafsir masjid Al Kautsar i ajuhon sadarion. Sae adong-adong do...#Ramadhan berkah"
