id,text,label
emot-train-1589,"Materi Mr Roger Tol (Belanda) kaitanna dunya ngeunaan naskah di Indonesia. Wow... Alus pisan nya, nagara arurang boga 700 basa.. Ckckckck #seminarpanji #sastra [USERNAME] [URL]",happy
emot-train-1154,"Jijik pisan nya?! Hahaha. Ngan hayang ngomong, bagja tiasa wawuh jeung maneh bro. Nya sanaos kakirangan maneh leuwih loba tibatan kaleuwihan maneh (Hahaha) Tapi simkuring nyadar lamun babaturan ieu teu amis rasana lamun ngan narima kaleuwihan hungkul :) [URL]",happy
emot-train-683,Otak lamun emang geus goblok rek diajak ngomong kamana wae ge sok manehna nu hayang meunang...manehna ka kenca urang ka katuhu urang salah...sabalikna oge urang nu salah wae...kecuali urang milu manehna karek bener tapi sakapeung eta oge lamun aya masalah urang oge nu disalahkeun...KUMAHA MANEH WEH ...,anger
emot-train-720,"singkat carita, sikap manehna nu baheulana cool, cuek, cicingeun pisan, jeung sok ngambek ngadadak robah jadi caper, rendah hate, berwarna, karismatik, play boy kitu, malah mun ceuk urang pribadi sikopatna makin katempo jelas. ",fear
emot-train-146,"Maca ieu janten sieun:( sanajan pakean simkuring sapopoe oge geus syari, tiung nutupan dada jeung salawasna make anerok",fear
emot-train-230,hayang seuri urang ningalina wkwk,happy
emot-train-2809,"Keur Politisi ngomong ngajual agama supaya kapilih atawa didukung....eta tandana teu mangpu, teu ",anger
emot-train-2357,"Kosan cakeut ka kantor, dongkap paling telat, teras lamun siang teh bobo sabari ngalonjor di sofa. Rerencangan kantor nu sapertos kieu teh emang kudu disebut tai sih.",anger
emot-train-1603,"rek carita ka saha ai geus kieu teh? ancur hirup ieu pikiran atuh kumaha hate abdi abdi sedih, abdi ceurik sampe ngeclak cimata ieu mah sigana lirik lagu sayang pia palen deh wkwkw",sadness
emot-train-17,"Mugia sehat salawasna, jeung nu penitng salawasna nyaah jeung bogoh ka [USERNAME], sanajan urang mah pengikut anyar tapi arurang bisa saling kenal sabab arurang kulawarga arurang teh kulawarga Urang nyaah ka maneh",love
emot-validation-395,"serial komedi taun 2013, ngan 1 usum. caritana teteh-teteh nu ngora keneh kawin jeung duda budak 3, sakapeung malah dua mantan pamajikanna oge ngariung di imah, receh pisan asli",happy
emot-train-1567,"Urang ngayakeun pertemuan anu kacida alus jeung presiden [USERNAME] jeung atoh hate narimana dina kunjungan blusukan (dadakan) di masyarakat, tulis Lagarde dina status Twitter-na #Jokowi2Periode",happy
emot-train-2452,"USERNAME] [USERNAME] [USERNAME] [USERNAME] cita-cita jadi JONGOS, pola pikirna diwatesan ku kumaha carana NGAJONGOSKEUN diri nu bener jadi jigana kapasitas otakna teu mumpuni pikeun nampung cara mikir nu ditulis ku [USERNAME]",anger
emot-train-3127,[USERNAME] Percanten....satiap aya cobaan pasti di balik eta sadayana aya hikmahna... jeung nguji sabaraha jauh urang usaha ngajalankeunna...,happy
emot-train-1182,"[USERNAME] Lamun di Pilkada wae poto panas bisa nyebabkeun jalma ngundurkeun diri, jadi tangtuna di Indonesian Idol oge wajib mundur. Komo deui ieu dina rupa pidio",anger
emot-test-89,"Baheula mah fotografer masih jarang maen photoshop, loba nu resep poto nu loba micin. Ayeuna, saatos seueur aplikasi Photoshop anu tiasa diunduh ku sadayana haratis dina telepon selulerna, jalma mimiti eunek ninggali poto-poto anu seueurna micinna.",sadness
emot-train-2649,"bener oge sih, di tempat urang aya 3 gereja, can pernah urang ningali ngayakeun imunisasi jang anak-anak maranehanana, jeung di kelenteng oge sarua, euweuh oge.. Ngeri pisan Depopulasi... [URL]",fear
emot-train-1159,Salila 7 taun di jero dunya simkuring pinuh ku dirina jeung di jero dunyana oge meren pinuh ku diri simkuring. Dunya urang leumpang bagja pisan kangge simkuring tapi meren monton kangge indung anjeun. Simkuring apal sakapeung aya waktos simkuring pikaboseneun pisan kangge anjeuna jeung anjeuna hayang mangkat ti simkuring. Simkuring apal tanpa anjeuna kudu ngomong,sadness
emot-validation-262,"Jadi caritana adi abdi nginjeum buku paket ti tilas Kaka kelas anu tos lulus nah teu ngahaja manggihan kertas nyelip dina salah sahiji halaman pas adi abdi maca eh mb surat cinta, tuluy abdi maca nu gandeng",happy
emot-train-3053,"Manehna nunda curukna dina tarang kuring ""matakna! Meuli susu teh diinum, vitaminna tong kaliwat! Kan riweuh lamun rek indit ka tempat umum tapi anjeunna karek leumpang 5menit geus katurelengan"" Kuring",anger
emot-train-1845,"Makin dewasa maneh, makin males maneh kana hal-hal anu terlalu loba drama. Pertemanan anu penuh drama, hubungan asmara anu penuh drama. Kusabab maneh apal, pagawean leuwih penting tibatan kabeh drama-drama anu nyieun capek eta. *Boycandra",sadness
emot-train-340,"Jenis jalma nu nyieun hoream ti mimiti papanggih nyaeta nu resepi pisan nyombongkeu diri sorangan. Nya meren sabenerna sabab anjeuna teu pede nya, jantem butuh pangkuan. Tapi hoream pisan teu sih ngobrol jeung jalma siga kieu, sanajan oge geulis/kasep pisan?",anger
emot-train-705,"[SERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Duet maut kawas bintang maen bal belgia hazard, luka urang. saling ngalengkapi jeung ngalayani dinu ngacapai kamenangan..",happy
emot-train-3479,"[USERNAME] Nepi iraha nya,,terus naon kompensasi jang pelanggan dina kondisi kieu, layanan speed sarua wae malah jaringan sering lemot padahal kawajiban tagihan dibayar tepat waktu [USERNAME]",anger
emot-train-242,Samentara abdi sakitu sieun pikeun neruskeun hubungan abdi ka arah nu leuwih serius teras malah mutuskeun pikeun pisah ti lalaki anu bener mikanyaah abdi.,fear
emot-train-1088,"Ngahaturkan salamet pikeun komuni suci pertamana, Xellent. Mommy,Papa, Ompung,Unty, Tulang, Bou, Uda Xaviera ngiring bingah tiasa ningali sareng ngabaturan anjeun di dinten spesial ieu. Mugi-mugi Xellent tiasa janten murangkalih anu ngabungahkeun hate Tuhan sareng jadi panyalur berkat ka sarerea. [URL]",happy
emot-train-796,[USERNAME] min pangajuan reksa dana abdi disatujuan kaping 28/05. Naha teu menang kartu voucher hadiah. Mariksa surelek oge teu aya [URL],anger
