id,text,label
emot-train-1589,"Materina Pa' Roger Tol (Balandha) bab dhunnya pnyerradhan neng Indonesia. Wow... Lebur sara ya, nagharana kita nyatana andi' 700 bhasa.. Ckckckck. #seminarpanji #sastra [USERNAME] [URL]",happy
emot-train-1154,"Seggher sara ya?! Hahaha. Coma terro ngoca'a, bhunga bisa kennal maso kake bro. Ya magghi kakoranganna lebbi bannya' etembhang kalebbiyanna (Hahaha) Tape engko' sadar jha' persohabhatan reya ta' manes rassana mon coma narema kalebbiyanna malolo :) [URL]",happy
emot-train-683,Otek mon lakar la bhudhu  eyajhakgha caca demma'a bhai pagghun rowa se terro mennangnga...e ka kacer kita ka kanan kita sala...sabhalikgha keya kita se sala malolo...tape kita noro' rowa bhuru bhender tape kadhang jiya bhai mon bada cobha keya kita se esalaaghi...APA CA'EN KAKE LA ...,anger
emot-train-720,"singkat caretah, sikap jiyah se lambe' keren, cuek, cinta petteng, pendiem sarah, ben peghellen tiba-tiba aobe deddih caper, rende ateh, abernah, karismatik, pemain reng bini', mala mon menurut sengko' pribadi sikopatteh sajhen nampak jellas. ",fear
emot-train-146,"Maca reya engko' pas tako':( polana tang angghuyan re-saare keya la syari, kodung notop dada ban lako ngangghuy rok.",fear
emot-train-230,ngakak engko' ngabesse wkwk,happy
emot-train-2809,"Bakto politisi acava jhuwal aghama ma'le epele otaba esokong....rowa tandhana ta' sangghup, ta' mekker, ta' andi' pekkeran maju!! #Ellajiyabhai [URL]",anger
emot-train-2357,"Kosan semma' kantor, dateng paleng lambat, pas mon siang tedung pole ngonjhur e korse. Kanca kantor sogi enga' reya emang parlo ekoca' tae ya.",anger
emot-train-1603,"ende' careta ka sapa bhai mun la nga'riya? ancor odi' riya mekkerra beremma atena engko' seddhi, engko' nangis sampe' netes aeng mata riya enga'na lirik tembhang via vallen ye wkwkw",sadness
emot-train-17,"Samogha baras terros, ban se paleng parlo malolo neser ban cinta ka [USERNAME], magghi engko' rowa followers anyar tape kita bisa saleng kennal polana kita kalowarga we are family i love you",love
emot-validation-395,"serial komedi taon 2013, coman 1 season. caretannah mba-mba se ghi' ngodeh alakeh sareng duda 3 anak, kadhang malah dua' mantan binennah jughan akompol neng roma. receh sarah asli",happy
emot-train-1567,"engkok ngabedheagi pertemuan cek begussah bik presiden [USERNAME] ben cek bungannah atih ngancae delem kunjungan sapnyapsap (dedeken) e masyarakat, toles Lagarde delem status Twitterra #Jokowi2Periode",happy
emot-train-2452,"[USERNAME] [USERNAME] [USERNAME] [USERNAME]  ata-cita dhaddi JONGOS, pola pekkerra nengke' da' da'remma carana AJONGOSSAGHI aba' kalaban bhaghus dhaddhi menorot engko' kapasitassa otekgha ta' cokop kaangghuy nampong cara pekker se etoles bi' [USERNAME]",anger
emot-train-3127,[USERNAME] Percaje lah .... saben bede ujian maste ebelikkah bede hikmannah... ben ngojih seberemmah jeuh abeen dibik usaha majelenaghi,happy
emot-train-1182,"[USERNAME] Mun e Pikada beih foto panas bisah anyebab agih oreng ambu, makah tentonah e Indonesian Idol kiah wejib ambu. Apa pole ariah delem bentuk vidio",anger
emot-test-89,"Jeman lambektokang foto gik rang rang se amaen photoshopfoto sebenyak micinnah benyak se lebur. setiyah semarenah benyak aplikasi photoshop  se benyak oreng bisa adownload gratis e hape, rengoreng molaen ontep negguh foto se benyak micin",sadness
emot-train-2649,"bhennder keya la, e tang kennengngan bada 3 gereja, ghita' toman engko' ngatela' mabada imunisasi kaangghuy na'-kana'en, ban e klenteng bhai pada keya, tada' keya.. Serrem sara Deppopulasi... [URL]",fear
emot-train-1159,selama 7 taon e dhalem tang dunnyah penuh sareng badhannah ban e dhalem dhunnya pun mungkin penuh sareng tang badhan. Dunnyah kami a jhalan ce' bahagiannah bhagi kulah tape mungkin bgahi ebunnah sampeyan. Kaula taoh kadhang badha masa kaula ce' ngabusenen ban neka ce' terro meyos dari kaula. Kaula oneng tanpa paneka kodhu adhabu,sadness
emot-validation-262,"Dheddhih ceretanah tang alek nginjhem buku paket dek mantan Kk kelas se le lolos nah lok sengaja nemoen dhelubeng nyelip neng sala sittong halaman pas tang alek mecah eh mbak kadik sorat cinta, teros engkok becah bik asuarah",happy
emot-train-3053,"Rowa nyaba' ghri-ghi' tonjhu'en e tang dai ""mangkana! Melle susu ro eyenom, vitaminna jha' talebat! Kan rowet mon terro ajhalanna ka Kennengngan umum tape kakena ghi' ajhalan 5mennet la palengngen"" Engko'",anger
