id,ind_text,tgt_text
indolem-train-818,"hobi banget ngapain? ? selfie , sama mainan hp wkw belajar juga sih tapi gak keseringan bgt wkw http://ask.fm/a/c0dmqfll ","Apamo hobi ningai? Poto kale, siagang karena hp wkwk appilajara tonji mingka tena na tuli dudu wkw http://ask.fm/a/c0dmqfll"
indolem-train-841,Thanks babes for coming @FNHaziqah_ @FtinAtighah @___szr. baju dh santek mai posing hancoq ? #HasnolAnisSolemnization,Kurru mae bau’ na battuki @FNHaziqah_ @FtinAtighah @___szr. Biasami bajua mai posing hancoq ? #HasnolAnisSolemnization
indolem-test-540,"Lumayan nyaman, cuma ac kurang dingin dan kebersihan perlu ditingkatkan","Lumayang nyamang, AC na ji kurang dinging siagang tangkasa'na parallui ritingka'kang"
emot-train-1744,Dear [USERNAME] sang penerima penghargaan Travel and Tourism Awards dan Predilat LCC Bintang 4 Skytrax! Saya sdh berkali2 telpon call center dan email pengaduan ke customer care dgn nomor pengaduan 239835 dan RSV229808 kenapa complain sy tdk ditindak lanjuti??,Dear [USERNAME] tau gappayya passareang Travel and Tourism Awards na Predilat LCC Bintoeng 4 Skytrax! Niami siapa kali nitalipongi call center na email pajamakkanna ri costumer care na nomoro pajammakkanna 239835 na RSV 229808 ngapana kana-kanaku tena nijampangi??
indolem-test-157,Demokrat nilai Jokowi beri bukti bukan janji http://tinyurl.com/n73ony5,Demokrat nanilai Jokowi sare butti teai janji http://tinyurl.com/n73ony5
indolem-train-367,dalam gelap takkan kutinggalkan?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/2tBOp6,lalang sassang tena bakka ripilari?? ? Untukmu Aku Bertahan battu ri Afgan ? https://path.com/p/2tBOp6
indolem-train-2606,"kamarnya kotor,tidak ada tissue dan tempat sampah. lampu tidur dikamar juga mati,selimutnya hanya setengah badan saja.","Ca’mara kamara, tena tissu na tampa’ loro. Mate tongi lampu kamarana, kalimbu’na stangnga kale ji"
indolem-train-992,Kamulah Takdirku - Single by Raffi Ahmad & Nagita Slavina https://itun.es/id/M8Jr5,Kamulah Takdirku – Kelong battu Raffi Ahmad & Nagita Slavina https://itun.es/id/M8Jr5
emot-train-248,"Wa inii ... mantep nii Wa inii, wa inii tok, dari kemarin jg belum nonton deadpool, han solo gr"" gaada temen kasian ! Dasar miskin, gapunya temen ! [URL]","Naa anne … bajiki anne Na anne, na anne tok, battu subangngi tenapa nontongi deadpool, han solo nasaba tena agang kodong ! To kamase-mase, tena agangna ! [URL]"
indolem-train-546,Cara Atur Pola Makan Bagi Ibu Menyusui Agar Cepat Turun Berat Badan http://tinyurl.com/qbbptuz,Cara angngatoroki pola pangnganreanna amma' amma' appasusua sollanna natettere' naung battala'na kalenna
emot-train-3261,"Hanya modal walikota Solo,bgmn mungkin bs menaklukkan belantara Jkrta.Dan disusul bs menaklukkan Nusantara.Dia sendirian?.Tanpa dukungan TAIPAN,dan media sosial,Mustahil.Konsekwensi:dikomando taipan. [URL]","Modala'na walikota Solo, antekamma nakkulle na paroangngang bausu tauporena Jakarta assegang poe akkullei  na taklukkan bone linoa na kale kalenna ? na tena ni dukungi ri TAIPAN assegang media sosial. tenantama riakkala. Konsekwensi ni komando ri Taipan [URL]"
emot-train-1415,"Berada di lingkungan yang berisi orang-orang hebat itu akan menyadarkan kita betapa pentingnya upgrade diri dan jadi OUT STANDING! Salah satunya duta bahasa, kemampuan mereka itu wow bgt!","Nia ri tammulilingna tau pallaka antu napakasiaki paralluna nipakabajiki kalea na anjari KAPOREANG ! Maka se’rena wakele’ bahasa, pangissenganna anjo porena!"
emot-test-3,"Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...","Kamaredekang iyami patanna ngaseng bangsa … (tena Yahudi,Kurdi , Catalonia , Koptik ) tekamma nitongko matayya ri Panjajaang Yaman na Qatar. Battuanna dobolo standar …"
indolem-train-2085,"yang perlu diperbaiki : pelayanan kurang ramah , perlengkapan seperti handuk,air minum snack dr airy tdk di kasih walaupun menginap lebih dr 3 !","parallu a nipabajiki : pelayanananna kurang sombere', pakkakkasa' kamma handuk, je'ne' inung, inungang battu ri airy tena nisare manna a'bangngi la'bi 3!"
indolem-test-601,televisi nyaa buremmm,Sassangi telepisinna
emot-train-1137,"Kepada jamaah Masjid Al Kautsar , Dikarenakan Nasi tumpeng ayam matang sebelum waktunya, maka dengan ini pengajian tafsir masjid Al Kautsar di ajukan hari ini. Aya aya wae...#Ramadhan berkah","Untuk jamaahna Masigi' Al Kautsar, Nasaba' kanre tumpenga lalo libai ti'no', jari pengajian tafsir masigi' Al Kautsar nipamajui anne alloa, niya to' kajariang...#Ramadhan barakka' "
indolem-train-1915,"#BreakingNews: Aneh, Mengapa Menkumham Standar Ganda Pengesahan Pengurus PPP dan Golkar? http://tinyurl.com/lagcrks ","#BreakingNews: Masagala, angngapa Menkumham anjari ukkurang nisahkang pengurusna PPP siagang Golkar? http://tinyurl.com/lagcrks"
indolem-test-14,Syahrini Pakai Batik ke Kantor Tribun Timur Makassar http://bit.ly/1LFbeRf,Syahrini ammake bati' mae ri kantoro' tribun Makassar http://bit.ly./1LFbeRf
indolem-validation-328,"Sebenarnya secara keseluruhan kamar ok, bersih, rapi dan nyaman. Cuman yg bikin kecewa waktu tdr di selimutnya ada tungau nya (kutu busuk) jadi tidurnya tidak pulas karena harus garuk2 kaki","sebenarna iyangasenna poreji kamara'na. tangkasa', rapi siagang anynyamang. kecewa nasaba' wattunna tinro niyak kutu a'rasa ri salimu'na jari tena nara'ra' tinro a nasaba' nikangkampi bangkenga"
emot-test-250,Terima kasih kepada Undiknas Bali yang mempercayakan perjalanan company visit Singapore - Malaysia kepada Kusuma Holiday Tour,Kurrusumanga ri Undiknas Bali na tappaki jappana company visit Singapore-Malaysia ri Kusuma Holiday Tour
indolem-train-1674,"ok aja la, wi-fi kaga ada","Bajiji, tena wifina"
indolem-train-834,"pelayanan ramah, saran aja mungkin lebih diperhatikan water heater nya. Selebihnya, OK","panjampanginna sombere', sarangji anne la'bi rijampangi pa'bambang je'ne ka. Maraenga, baji'ji"
emot-train-1721,"[USERNAME] Min kalau tidak ada perawatan Transjakarta ini bisa seperti metro mini, saya tiap hari naik Basway ini 60% mobil nya bermasalah","[USERNAME] Min punna tena parutusuki anne Transjakarta la singkammai bus cakdia, nakke allo-alloku naik Basway anne 60% otona bermasalai"
indolem-validation-398,Jgn gitu ah tom @Cent_tommy: makan sehari cuma sekali gara2 di block andela gak nafsumakan ... mungkin bskbbskbgak nafsu hidup ?,Teana kamma antu tom @Cent_tommy: kanre siallo nasaba nibloki andela tenamo napsu nganre… barakka mmukotenamo nafsu tallasa ?
emot-validation-215,"Aq lebih takut ama manusia daripada ama setan. Gk pernah ada setan kemanusiaan, tapi kalo manusia kesetanan banyak bahkan seram abis","Mallakkanga nakke ri taua na setanga. Talebakki nia setang katauang, mingka punna tau kasetangang jai na pakamalla dudu poeng"
indolem-train-2209,perlu selimut dan tambahan papan nama di pinggir jalan supaya tidak bingung cari tempat ini,parallu salimau' siagang eroki nitambai papang areng ribiring a'rungnga sollanna tena nilingu amboyai anne tampaka
indolem-validation-97,"Tweeps, ingin tahu manfaat yang bisa Anda dapatkan saat makan ubi jalar? Baca artikelnya di sini -> http://bit.ly/1xTW0lS ","Tweeps, ero'ko issengi matu-matunna yang kulle nu gappa wattu nganre lame lamba'? Ammacako artikelna rinne -> http://bit.ly/1xTW0lS"
indolem-test-197,Teh hijau bisa meredam rasa lapar sehingga Anda bisa melakukan keputusan rasional tentang apa yang akan Anda makan. [The Nutrition Twins],Teh lango lango akkulle annahang cipuru' sanggenna akkulleko appattantu apa lanu kanre. [The Nutrition Twins]
indolem-test-890,Aman dan nyaman + ac kurang dingin,sannang siagang amangi tena lift mange ri kamara' rate a
indolem-train-2097,Politisi PDIP Masih Ngotot Jerat Samad-BW : http://fajar.co.id/headline/2015/02/20/politisi-pdip-masih-ngotot-jerat-samad-bw.html ?,Politisi PDIP Ngotot Kinjai Jerat Samad-BW : http://fajar.co.id/headline/2015/02/20/politisi-ppid-masih-ngotot-jerat-samad-bw.html ?
indolem-test-881,warnai seprai tidak bersih..dan lingkungan kotor.. handuk hrs diminta dulu..itupun dikasih satu..padahal ada 2 orang. dan pelayanan kurang ramah.,Tena na tangkasa cora’ sepreina..nampa tammulilinga rantasa..nipala’pi handuka..injo poeng se’reji nisare..nampa nia 2 tau. Tena tong na sombere papparutusuka.
emot-train-1239,"Kadang suka kasian sama tukang parkir, kebingungan gitu kalo markirin jet acu saking gedenya. Jadi sekarang prefer naik UFO aja deh. Lebih minimalis tempat parkirnya #KeluhanBorjuis","Kadang nangai kamase siagang tukang parkirka, nilingui kamma anjo punna ammarkir jet acu saking lompona. Anjari kinne napilei naik UFO mami deh. Lakbi minimalis tampak parkirna #KeluhanBorjuis"
indolem-test-978,"air panas gadak, 2x nginap 2 2 nya bertemu kasurnya","je'ne bambang tena nia', 2x bangngi 2 2 na accini' kasuru'na"
indolem-train-536,Nabi Dawud memilik kemampuan untuk melunakkan besi hanya dengan tangannya tanpa harus menempa dgn api kemudian di buat menjadi baju zirah,Na'bi Dawud akkulle allammai bassi a ammake lima mingka tenaja nammake pepe' nampa napare' anjari baju zirah
emot-train-2427,"[USERNAME] [USERNAME] Nah kalo ini baru bener, semua yang salah patut disalahkan buat introprksi dan membenarkan permasalahannya, bukannya udah salah e malah lari takut disalahkan ","[USERNAME] [USERNAME] Punna anne berupi tojeng, iangaseng yang sala kulle risalakang untu' a'intropessi siagang pa'tojengi pamassalahanna, teai sala mi nampa lari malla risalakang"
emot-train-3151,omg parah bnr2 insom blm ngantuk2 mata gw msh seger aja pikiran lg kacau sih kyk.gini dah efek pikiran lg tegang n hawa suntuk kesel dari kmrn hiiiiks,Ommaleka pakamallana anne tena kulle tinro matayya parrang inji nampa ulua maraeng nipikkiri kammami anne punna kodi ni pikkiri battu subangngia
indolem-test-873,"kamar panas, AC rusak, kamar mandi bocor, ga nyaman banget, untung cm transit aja.","Bambangi kamara, Acna panra’, boncoro kamara mandina, tena nyamang dudu, bajina ka sengkaji."
indolem-train-1016,sakit gatal gatal dapt hilang http://www.klinikwienarto.com  (0291)3332855 / HP. 08122893709 / PIN 29E22f2f,Kulle lannya katala-katala http://www.klinikwienarto.com (0291)3332855 / HP. 08122893709 / PIN 29E22f2f
indolem-train-2612,kesan menginap airy rooms eco tj duren timur jakarta barat : 1. receptionistnya kurang ramah 2. kondisi kamar kotor dan pengap 3. kondisi AC tidak dingin 4. banyak semut dan kecoa dikamar mandi 5. kotor,pakkasia' a'bangngi ri airy rooms eco tj duren timur jakarta barat: 1. resepsiois tena nasombere'  2. kamara' rantasa' siagang su'mung 3. tena nadinging AC na 4. jai kulipasa' ri kamara' mandina 5. rantasa'
indolem-train-854,"Jon Bon Jovi memiliki restoran bernama 'Soul Kitchen', di mana semua orang boleh makan apa saja dan hanya membayarnya jika mereka mau.","Nia restoranna Jon Bon Jovi arenna ‘Soul Kitchen’, kerea kulle ngaseng nganre taua nampa kulleji nibayara punna nia ero."
indolem-train-200,Jumlah Penumpang yang Refund Tiket di Kantor Lion Air Menyusut: Para penumpang yang terlantar akibat delay par... http://bit.ly/1vRUg9f,Mannaungi tau paboliki tiketna ri kantoro Lion Air: Tassimbungi tau a’dongkok napakamma tena jappa par...  http://bit.ly/1vRUg9f
indolem-train-311,"hotel ditengah Kota , mudah dlditemukan , dekat dengan pusat2 pertokoan dan perbelanjaan , Banyak pedagang makanan Dan minimarket , kamar bersih , AC dingin , handuk bersih , selalu tersedia peralatan Mandi Dari airy room dan snack , Kekurangan : selimut yg kurang tebal, seperti sprei kedua, kamar Mandi Yang kurang bersih, . tetapi cukup baik . . ","Hotele ri tangnga kota, tena sessa digappa, mani ri pasara pabbalanjaang, jai pabalu kanreang na ga’de, tangkasa kamara, dinging AC, tangkasa handu’, nia tarrusu sadia pakkakkasa’ je’ne battu airy room na ka’dokang, kodina : kalimbu’na tipisi, sikamma kalimbu makadua, kamara je’nena tena tangkasa, . mingka baji’ ji"
indolem-validation-297,ok semua.cumak satu krgnya. selimutnya bau...,"baji' ngasengji, se're ji kurangna. A'rasai kalimbu'na..."
emot-train-571,Cuma ada aja manusia yang nggak ngerti posisi si panitia tersebut. Dengan seenaknya minta ganti tempat hanya gegara maksimal nongkrong adalah 3 jam. 3 jam masih kurang? Ebuset wkakaka,Mingka nia tong tau tena na isseng posisina panitiayya antu. Ero-erona ero sambei tempa’ napakamma accidong 3 jang. Kuran inji 3 jang kah? Ta’liwana wkawka
emot-train-1312,Enggak pernah sama sekali membatasi dia buat chatan or main sama siapa aja terserah dia. Karna..... Semakin kita larang semakin kesempatan orang buat bohongin kita tuh gede. Jadi terserah lah yah ensenang aja menjalani hubungan iniw,tena nale'ba kubatasi acce' iyareka akkerana siagang i nai ero' ero'naji. karma...pela' nilisangkai pela nisare a'rungang tau a ambura burai tawwa. jari passammi nakke kungaiji anne hubungan kammayya anne.
indolem-train-3595,Dulu Sisil pernah salah memakai seragam sekolahnya pada hari senin karena terlambat dan disaat itu ia malah memakai baju seragam pramuka.,Riolo le’baki Sisil sala make baju sanrupa sikolanna ri allo sannenga nasaba katinggallang na anjomi wattua ia make baju sanrupa pramuka.
emot-train-2789,Ketika malam minggu tak lagi menakutkan! Balet asyik bersama orang2 hebat!,punna bangngi aha' tenamo nappimalla' malla! Balet baji pakkasia'na siagang tau2 hebat!
emot-validation-178,"sah-sah saja anda fans persija. Membela pemain klub favorit. Walau persija bapuk. Tapi jangan keliatan banget lah, apalagi soal Via Vallen & Simic ini. Mikir!!","Tenaja masala anjari fans persijaki. Nibelai pakarena andalanga. Manna mamo paccei persija. Mingka teaki kacinikkang dudu bela, apa poe passala Via Vallen & Simic anne. Mikkiri!"
emot-train-3487,"Saat terjadi sesuatu jgn langsung kau tunjuk musuhmu sebagai biang keroknya. Pelajari dan dalami dulu. Jangan langsung menuduh, itu juga fitnah namanya. Jika memang dirimu tahu dan ada bukti, tampilkan ke permukaan. Jgn hanya bisa menilai dengan asumsi.","punna niyak se're kajariyang teya langsung pakkanai musunna anjari saba'. pilajari rong lalang lalang. teya langsung ampakkanai, anjo fitnah tonji arenna. punna memang nassengi kalennu siagang  niyak buttina, pau i mange ri dallekang. teya akkulleja bawang appau nampa tena butti"
indolem-train-3090,"Kamar baguss, rekomen lah buat nginap. Kamar mandi nya kalo bisa di beri pewangi supaya lebih nyaman","Kamara' baji', rekomengi punna a'bangngi. Kamara' mandina punna kulle risarei pa'bau' manna la'bi nyamangi"
emot-train-877,"Semoga dengan tayangnya film #22menit ini menjadi perantara untuk selalu menebarkan benih-benih cinta, yang akan menumbuhkan persaudaraan diantara umat manusia. #AnsorMajuSatuBarisan [URL]","bare' tayangna pelleng #22mani' anne akkulle anjari passialle tulusu' appasiara' bibi' bibi' pangngai, appakaniyak pa'rasangang paranna umma' rupa tau. #AnsorMajuSatuBarisan [URL]"
indolem-train-1882,kamar mandi ada kecoa. bantal biru bau apek. lainnya oke.,"niyak kulipasa' ri kamara' mandina, pa'lungang gau' a'rasa su'mung. maraenganna oke"
