id,text,label
emot-train-1589,"Materi Mr Roger Tol (Belanda) terkait dunia pernaskahan di Indonesia. Wow... Keren bana yo, negara awak kironyo punyo 700 bahaso.. Ckckckck. #seminarpanji #sastra [USERNAME] [URL]",happy
emot-train-1154,"jejok bana yo? hahaha. Nio ngecek se, sanang bisa kenal samo ang. Yoo walaupun banyak kurang ang pado kalabiah an ang (hahaha) tapi den sadar persahabatan ko ndak manih rasonyo kok manarimo kalabiah an sajo :) [URL]",happy
emot-train-683,Utak kalau memang alah pakak nio diajak ngecek kama pun selalu inyo yang nio manang...inyo ka kiri awak ka kanan awak salah...sabaliaknyo lo awak yang salah taruih...kecuali awak ngikuik inyo baru bana tapi kadang itupun kalau ado masalah awak lo yang disalahan...SERAH KAU SE LAH...,anger
emot-train-720,"Singkek carito, sikap inyo nan dulu cool, acuah, cinto dark, paanok bana, danpamberang tibo-tibo barubah jadi caper, humble, bawarna, bapaham, play boy, sampai kalau manuruik den surang sikopatnyo tambah nampak jaleh.",fear
emot-train-146,"Baco iko aden jadi takuik:( padohal pakaian den sahari-hari juo alah syari, karuduang manutuik dado jo salalu pakai rok",fear
emot-train-230,Kikiak den malieknyo wkwk,happy
emot-train-2809,"Katiko politisi mangecek jua agamo agar dipiliah atau dukuang... itu tandonyo indak mampu, indak banalar, indak ado dayo kreasi! #alah gituse [URL]",anger
emot-train-2357,"Kosan dakek kantua, tibo paliang talek, tu kalau siang lalok pulo salonjoran di sofa. Kawan kantua bantuak ko emang paralu dikatoan cirik sih.",anger
emot-train-1603,"Nio carito ka sia kalau alah takah iko?? hancua iduik ko pikiaan lah ba a hati den Aden sadiah, Aden manangih sampai manetesan ayia mato bantuaknyo lirik lagu sayang pia palen deh wkwk",sadness
emot-train-17,"Samoga siaik salalu, dan nan tapantiang salalu sayang dan cinto samo [USERNAME]. walaupun den itu followers baru tapi kito bisa saliang kenal karano kito kaluarga awak kaluarga aden cinto ang",love
emot-validation-395,"serial komedi taun 2013, 1 season nyo, caritonyo mbak2 yang masih mudo nikah jo duda 3 anak, kadang 2 mantan bini nyo ikuik lo ngumpua di rumah. receh bana asli",happy
emot-train-1567,Ambo maadoan patamuan sangaik elok jo presiden [USERNAME] dan jo sanang ati mangawaninyo dalam kunjuangan blusukan (mandadak) dimasyarakaik. tulih Lagarde dalam status Twitternyo #Jokowi2Periode,happy
emot-train-2452,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] bacita-cita jadi BUDAK, pola pikianyo tabateh pado ba a caronyo MAMBUDAKAN diri dengan elok jadi manuruik ambo kapasitasnyo utaknyo ndak mampu untuak manampuang caro bapikia nan tulihkan dek [USERNAME] ",anger
emot-train-3127,[USERNAME] Pacayolah....satiok ado cobaan.pasti di baliak tu sadonyo ado hikmahnyo...dan mauji sabara jauah awak bausaho manjalaninyo...,happy
emot-train-1182,"[USERNAME] Kalau di Pilkada sajo poto angek bisa disabaokan urang maundurandiri, mako tantunyo di indonesian idol lo wajib mjncur. Apolai iko dalam bantuak vidio.",anger
emot-test-89,"Jaman dulu tukang poto masih jarang main photoshop, foto nan banyak micin tu rami nan suko. Kini setelah banyak aplikasi photoshop yang sadualah urang bisa mandapek an perai di hp, urang lah mulai mual liek foto nan talampau banyak micin",sadness
emot-train-2649,"batua juo sih, di tampek ambo ado 3 gereja, alun pernah ambo caliak maadoan imunisasi untuak anak-anak mereka, dan di klenteng pun samo lo, ndak ado juo.. Ngeri bana Depopulasi... [URL]",fear
emot-train-1159,Salamo 7 tahun di dalam dunia den panuah jo dirinyo samo didalam dunianyo pun mungkin panuah jo diri den. Dunia awak bajalan sangaik sanang untuak den tapi monoton untuak amak kau. aden tau kadang ado masa aden sangaik mambosanan untuaknyo samo inyo sangaik ingin pai dari den. aden tau tanpa inyo harus mangecek,sadness
emot-validation-262,"Jadi caritonyo adia ambo pinjam buku paket ka mantan Kakak kelas nan alah lulus tu ndak sangajo basobok karateh tasalek disalah satu halaman pas adekku baco ngecek eh uni surek cinto, tu ambo baco jo basuaro",happy
emot-train-3053,"inyo latakan jari talunjuaknyo di kaniang den "" mangkonyo! Bali susu tuh diminum, vitaminnyo jan talewat! kan ribet kalau nio jalan ka tampek umum tapi kamunyo baru jalan 5 minik alah paniang"" Ambo",anger
emot-train-1845,"Makin dewasa ang, samakin maleh ang jo hal-hal nan talampau banyak drama. Pakawanan panuah drama, hubungan asmara panuah drama. Sabab ang tau, karajo ang labiah pantiang dari pado sado drama-drama malatiahan itu. *Boycandra",sadness
emot-train-340,"Jenis urang nan buek maleh dari patamo adolah nan sanang bana manyombongan diri surang. Yo mungkin sabanyo karano inyo ndak picayo diri yp, jadi butuah pangakuan. Tapi maleh bana ndak si necek samo urang kayak giko, walaupun inyo cantik/gagah bana?",anger
