id,ind_text,tgt_text
indolem-train-2097,Politisi PDIP Masih Ngotot Jerat Samad-BW : http://fajar.co.id/headline/2015/02/20/politisi-pdip-masih-ngotot-jerat-samad-bw.html ?,Politisi PDIP masih ngotot nangkep Samad-BE ; http://fajar.co.id/headlone/2015/02/20/politisi-pdip-maseh-ngotot-nangkep-samad-bw.html
emot-train-2462,Aku hanya berfikir bahwa selama dia tersenyum berarti dia bahagia. Aku tak pernah berfikir bahwa ternyata dia mencoba untuk bertahan sngt keras di dlmnya. Sngt sngt egois kan? Qyara kuharap dimasa depn kau tak bertemu dgn sosok sepertiku krn itu sngt memuakan.,aku cumak mikir kalo selamo dio tesenyum berarti dio bahagia. aku dak pernah mikir kalo ternyato dio nyubo betahan keras nian didalemnyo. egois nian kan? Qyara aku harep dimasa depan kau dak ketmeu samo sosok cak aku karno itu muake nian.
emot-train-769,"pembimbing itu rupa-rupa macamnya. ini pembimbingku!: 1. bikin grup WA bimbingan 2. gapernah ngadain bimbingan 3. h-2 bulan baru menanyakan progress 4. tidak pernah membaca/mencoret, hanya mendengar dan menyimpulkan kita harus gmn 5. tiba-tiba blg dateline skripsi minggu ini.","pembimbing tu banyak macemnyo. ini pembimbingku!. 1. beken group WA bimbingan 2 . dak pernah ngadoke bimbingan 3. h-2 baru nanyoke perkembangan 4. dak pernah mbaco/ nyoret , cumak ndenger dan nyimpulke kito harus makmano 5. tibo-tibo ngomong detlen skripsi minggu ini."
emot-train-2457,"Merawat cinta itu tidak hanya butuh kesabaran, tp juga perlu mengalah memahamidan merangkul. Ketika marah sudah tak tertahankan, ingat2lah betapa indahnya apapun yg pernah kita lalui, sejelek apapun keadaannya, ""aku bersyukur memilikimu""","Ngerawat cinta tuh dak cumak butuh kesabaran bae , tapi jugo perlu ngalah memahami dan ngerangkul . amen marah dak tetahanle, inget2bae betapo indahnyo apopun yg pernah kito lewatu, sejelek apopun keadaanyk. ""aku bersyukur punyo kau """
indolem-train-3608,"NOT RECOMMENDED soalnya sering air mati, ga ada air panasnya, tamu berkunjung cm boleh 5mnt aja, karyawannya judes bgt..","NOT RECOMENDED soalnyo sering air mati, dak ado air panasnyo, tamu betamu cuma boleh 5 menit bae, pegawenyo judes nian.."
indolem-test-238,"tempat tidur nyaman, kamar bersih, ada air panas. pelayannya ramah. kamar mandi bersih. 2 malam yg sangat nyaman. tpi sayangnya tv nya antenanya gak bagus. nyala tapi tv nya banyak semutnya","tempat tedok nyaman, kamar bersih,ado aer panas  , pelayannyo ramah. kamar mandi bersih . 2 malem yang nyaman nian. tapi sayangnyo tipinyo antenanyo dak bagus. nyalo tapi tipinyo banyak semutnyo"
indolem-train-1358,"Murat, lumayan laah tapi banyak kecoa kecil kamarnya, dan selimutnya kurang bersih banyak bercaknya","murah, lumayan lah tapi banyak kecoa kecik kamarnyo, dan selimutnyo kurang bersih banyak bercaknyo"
emot-train-1264,Ketika di group keluarga udah pada ngomongin mudik. Duuh pengen mudik. Tapi apa daya suami libur cuma 4 hari dr hari H lebaran. Itu juga kalo g di telpon disuruh masuk. 2 tahun lalu malah habis sholat eid lgsg kerja,Pas di grup keluargo lah pado ngomongi mudik . Duuh pengen mudik. Tapi apo dayo laki libur cumak 4 hari dr hari H lebaran. Itu pulo kalo dak di telpon disuruh masuk . 2 tahun lalu malah abes sholat eid langsung begawe
indolem-test-387,"Jika di rumahmu mati lampu, apa yang langsung membuat... ? lagi Ol dri hp sambil ngeca tiba2 mati lampu sakitnya... http://ask.fm/a/bmie8c8l","amen dirumah kau mati lampu,, apo yg langsung mamebuat...? lagi ol dr hp sambel ngeca tibo2 mati lampu saketnyo... http://ask.fm/a/bmie8c8l"
indolem-train-2000,"Tv nya kurang berfungsi, Cari chanel tv lokalnya susah . jarang ada sinyal","Tipinyo kurang befungsi, Nyari chanel tv lokalnyo saro. jarang ado sinyalnyo"
emot-train-2598,Di kereta duduk sebrangan sama pasangan bapak2 dan ibu2 yang tidurnya pelukan terus dari Jogja sampe lewat Cirebon. Sampe Jakarta kukena sakit gula kaykanya :(,Di sepor duduk besebrangan samo psangan bapak2 samo ibu2 yang tedoknyo pelokan teros dari jogja nyampe kelewat cirebkn. nyampek jakarta aku kono saket gulo caknyo :(
emot-train-3305,Semoga roboh dan menimpa mereka. Baru kemudian akan ada himbauan keras untuk tidak naik-naik sembarangan ke atas situs sejarah. Sadis? Terpaksa. Pekok berjamaah. Garansi seumur hidup. [URL],"Semugo roboh teros nimpoi mereka . Baru agek tu ado himbauan keras untuk dak naek naek sembarangan ke pucuk situs sejarah. sadis? Tepakso , bange bejamaah . Garansi seumur idup . [URL] "
indolem-test-796,Mencari cinta sejati tak kutemukan ??? ? Kamu Yang Kutunggu (with Afgan) by Rossa ? https://path.com/p/3Gqx7s,nyari cinto sejati dak aku temuke ??? ? kamu yang kutunggu (samo afgan) oleh Rossa? https://path.com/p/3Gqx7s
emot-train-810,wah kasihan kucingnya pasti sakit deh :d ha ada semut keinjek kucing memang ada yang kcelakan,wah kesian kucingyo pasti sakit lah :d ha ado semut keinjek kicing memang ado yg kecelakaan
emot-train-2519,"Buat Mbak Erning, saya ini kalau ditelusuri masih saudara anda, dan tolong diingat saya tidak gila dan apa yang saya lakukan di rumah anda saya ingat semua.","Untuk Yuk Erning , aku ni amen di telosori masih sedulur kau , dan inget ye aku ni idak gilo dan apo yg aku buat di rumah kau aku inget galo"
indolem-train-1071,Demokrat nilai keputusan presiden beri kepastian: Sekretaris Fraksi Partai Demokrat di DPR RI Didik? http://dlvr.it/8dXNYd  | #infoRI,Demokrat nilai keputusan  presiden ngasih kepastian : Sekretaris fraksi partai Demokrat di DPR RI Didik? http://dlvr.it/8dXNYd | #infoRI
indolem-train-1402,Syahrini Lagi-lagi Tak Penuhi Panggilan Mabes Polri http://goo.gl/fb/f5x3mf  @tabloidbintang,syahrini lagi lagi idak memenuhi panggilan mabes Polri http://goo.gle//fb/f5x3mf @tabloidbintang
indolem-test-755,"kotor..seprei banyak nodanya..handuk juga,keliatam kamar jarang dibersihin..reception cuma sendiri..jadi lama kalau minta peralatan mandi..lantai kotor...","kotor.. sprei banyak nodanyo.. anduk jugo, kejingokan kamar jarang dibersihke.. reception cumak dewekan.. jd lamo amen minta perlatan mandi.. lantai kotor.."
emot-train-1309,Aku selalu ada untukmu Kamu selalu ada untuknya .,aku sellau ado untuk kau kau selalu ado untuk dio
indolem-test-493,Suami-Istri Kader PDIP Ngotot Maju Pilkada - http://JPNN.com  http://goo.gl/fb/SJv5lE  #KotawaringinTimur,Laki- bini Kader PDIP ngotot Maju Pilkada- http://JPNN.com  http://goo.gl/fb/SJv5lE  #KotawaringinTimur
indolem-train-81,Gathering kantor mami tercinta ????? (with Family at @puncakpass) ? https://path.com/p/1sc0qs,kumpul kumpul kantor mami tercinto ???? ( samo leluargo at @puncakpss) ? https://path.com/p/1 sc0qs
indolem-train-2568,"yang berkesan ada lokasi yang strategis, tapi sprei tempat tidur, serta sarung bantal sangat kotor, kurang nyaman","Yang bekesan ado lokasi yang strategis, tapi sprei  tempat tedok, trus sarung bantal kotor nian,  kurang nyaman"
indolem-train-380,suka banget sama kamarnya bersih banget air Snack lengkap tapi sayang tv tidak satelit tapi gpp all good,seneng nian samo kamarnyo bersih air cemilan lengkap tapi sayang tipi idka satelit tapi segalonyo bagus
indolem-test-734,"Ingin Anak Stylish, Ririn Dwi Ariyanti Beli Baju Hingga Kuras Jatah Belanja http://tinyurl.com/k9vjb7l","pengen anak begayo, Ririn Dwi Aryanti beli baju nyampek ngabeske duit jatah belanjo http:/4tinyutl.con/k9vjb7l"
indolem-test-304,"Pengamat: Imbas Konflik Jokowi-PDIP, Demokrat Incar Jabatan - http://www.itoday.co.id/uncategorized/pengamat-imbas-konflik-jokowi-pdip-demokrat-incar-jabatan ?","Pengamat: Imbas masalah Jokowi-PDIP, Demokrat Ngincer Jabatan -http://www.itoday.co.id/uncategorized/pengamat-imbas-politik-konflik-jokowi-pdip-demokrat-incar-jabatan ?"
indolem-test-407,kmar mandinya aga bau nyengat,kamar mandinyo agak bau nyengat
indolem-train-1087,handuknya sudah tidak layak pakai. :( showernya bocor.,andoknyo lah idak layak pakai . :( showernyo bocor.
emot-train-928,"dear pak [USERNAME], pak ini beneran ta ndak ada libur setelah hari raya pak:( masa tanggal merah sehari aja pakk, baru pulang sholat-takbiran masa langsung merantau lagi pak:( [URL]","bapak tersayang [USERNAME], pak ini nianan dak ado libur abes lebaran pak:(masa tanggal abang sehari bae pak, baru balek sholat-takbiran masa langsung merantau lagi pak :( [URL]"
indolem-validation-346,"tidak ada cemilan, perlengkapan mandi yg biasa jadi ciri khas airy rooms tidak ada, jedela tisak ada korden","dak ado cemilan , peerlngkapan mandi yg biaos jd ciri khas airy room dak ado. jendela ngatek korden"
indolem-train-798,"kalau aku pergi, aku nak kau jangan percaya sesapa . percaya diri kau seorang je tau . aku sayang kau ? '","kalo aku pegi, aku nak kau jangan percayo siapo siapo. percayo  diri kau dewek bae tau . aku sayang kau ?'"
