id,ind_text,tgt_text
indolem-train-818,"hobi banget ngapain? ? selfie , sama mainan hp wkw belajar juga sih tapi gak keseringan bgt wkw http://ask.fm/a/c0dmqfll ","seneng banget ngapa? ? selfie, karo dolanan hp wkw sinau ya ho'oh sih ning ora kerep banget wkw http://ask.fm/a/c0dmqfll "
indolem-train-841,Thanks babes for coming @FNHaziqah_ @FtinAtighah @___szr. baju dh santek mai posing hancoq ? #HasnolAnisSolemnization,Mater suwun sayang wes teko @FNHaziqah_ @FtinAtighah @___szr. Klambi wes musek sampek mumet hancoq ? #HasnolAnisSolemnization
indolem-test-540,"Lumayan nyaman, cuma ac kurang dingin dan kebersihan perlu ditingkatkan","Lumayan nyaman, mung ac kurang adem lan keresikan kudu diundakne"
emot-train-1744,Dear [USERNAME] sang penerima penghargaan Travel and Tourism Awards dan Predilat LCC Bintang 4 Skytrax! Saya sdh berkali2 telpon call center dan email pengaduan ke customer care dgn nomor pengaduan 239835 dan RSV229808 kenapa complain sy tdk ditindak lanjuti??,Kanggo [USERNAME] kang nampa pengahargaan Travel and Tourism Awards lan Predilat LCC Bintang 4 Skytrax! Aku wis pirang2 telpon call center lan email pengaduan menyang customer care kanthi nomor pengaduan 239835 lan RSV229808 kena apa complain aku ora ditindak maneh??
indolem-test-157,Demokrat nilai Jokowi beri bukti bukan janji http://tinyurl.com/n73ony5,Demokrat mbiji Jokowi weneh bukti dudu janji http://tinyurl.com/n73ony5
indolem-train-367,dalam gelap takkan kutinggalkan?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/2tBOp6,jero peteng ora bakal tak tinggalke?? ? Untukmu Aku Bertahan saking Afgan ? https://path.com/p/2tBOp6
indolem-train-2606,"kamarnya kotor,tidak ada tissue dan tempat sampah. lampu tidur dikamar juga mati,selimutnya hanya setengah badan saja.","kamare reged, ora ana tissue lan wadhah sampah. lampu tidur ing kamar uga mati, selimute mung setengah awak tok."
indolem-train-992,Kamulah Takdirku - Single by Raffi Ahmad & Nagita Slavina https://itun.es/id/M8Jr5,Kamulah Takdirku - Single dening Raffu Ahmad & Nagita Slavina https://itun.es/id/M8Jr5
emot-train-248,"Wa inii ... mantep nii Wa inii, wa inii tok, dari kemarin jg belum nonton deadpool, han solo gr"" gaada temen kasian ! Dasar miskin, gapunya temen ! [URL]","wah iki... mantep iki WA-ne, WA iki tok, ket wingi yo durung nonton deadpool, han dewekan gara-gara ora ono koncone ngesakno! Ancene kere, gak duwe konco! [URL]"
indolem-train-546,Cara Atur Pola Makan Bagi Ibu Menyusui Agar Cepat Turun Berat Badan http://tinyurl.com/qbbptuz,Cara ngatur pola mangan gawe ibu nyusui ben cepet medun bobote awak http://tinyurl.com/qbbptuz
