id,text,label
indolem-test-355,"Abis dijawek diapuih,kawan macam apo ? Aden macik hp sabalah inj http://ask.fm/a/bo26h59f",negative
indolem-train-37,"Kabatulan kantua sadang libur Imlek, saaik nan tapek untuak malakuan hal ketek sabagai bantuak? (w/Vivien) [gambar[ ? https://path.com/p/4jm49v",positive
indolem-train-255,"alah ka 2x nyo nginap disiko, jo masih samo kamarnyo barasiah ac dingin, cuma sayang tivi nyo masih bintiak-bintiak jo chanelnyo cuma 2 a hhehhee, jadi ndak bisa nonton tivi juo, salain tu a oke sadoe",positive
indolem-validation-61,"#faktasahabat inyo nan rela talambek pulang sakolah cuma untuak manggunjiang, curhat jo maota ndak jaleh",positive
indolem-train-287,"ampia samparono fasilitas hotel semo apartemen, cuma kualitas tv buruak, lain-lainnyo view, meja karajo, dapua mini, kamar mandi oke bana, kasua nyaman barasiah, anduak harum barasiah",positive
indolem-train-354,Bidang Perempuan Golkar Makassar Dibekali Ilmu Keprotokoleran : http://fajar.co.id/fajaronline-sulsel/2015/02/21/bidang-perempuan-golkar-makassar-dibekali-ilmu-keprotokoleran.html ?,positive
indolem-train-2269,"ambo lah bara kali manggunoan airy tapi biliak hotel iko sangaik jauah dari ekpektasi dan sangaik indak sasuai jo deskripsi dan gambar di aplikasi airy, bahkan aksesoris airynyo ndak ado. ndak ado aie angek, biliak apek dan kumuah , handuaknyo labiah mirip bathmat,jadi khawatir juo dengan airy ....",negative
indolem-train-3019,Rambuik Akim ko contoh rambuik favorit untuak kanai colakan dek guru disiplin kalau dakek sikola. Bagubau mode gembel.,negative
indolem-train-3440,Kamar mandi pintu rusak. Anduak ndak ado kalau ndak di minta.tv nyo ndak iduik.palayannyo kurang.,negative
indolem-train-3444,Ambo bata manginap dek listrik mati. palayanan kurang elok.,negative
indolem-train-6,"Padusi cuma nio dijadiaan bahargo dimato laki-laki nyo, bia bisa salalu manjago nyo jo nio ngawanan inyo kama-kama nyo pai.",positive
indolem-train-124,bisuak pakai baju nan kamek.. dan baju nan kamba samo anggota-anggota tim K3 ?,positive
indolem-test-188,#Teknologi Demokrat niai kaputusan presiden agiah kapastian http://dlvr.it/8dTLwl  #Assadiqulhaq,positive
indolem-train-1278,"Pena, hackter, cap BPJS dan karateh pendataan pasien hanyo itu nan mangawanan hari-hari ambo di kantua hahaha :) http://instagram.com/p/zWxGqDikmw/ ",negative
indolem-train-2379,"Aia macet di wakatu-wakatu penting, di katarangan fasilitas aie angek indak ditantuan wakatunyo kan? Jam 18 aie angek ndak bafungsi, untuak a mandi aie angek pagi hari? Justru nan penting tu malam, baa urang nan aktifiitas sampai malam dan baru bisa mandi.",negative
indolem-train-1041,"Ambo akan pai. Indak kini, tapi beko. Sebab ambo tau. Baa sakiknyo katiko bausaho malupoan disaat sadang sayang-sayangnyo.",positive
indolem-train-147,"Ndak pernah danga kecek urang-urang tu nan bingik samo aa.. justru aa malah mikian urang-urang nan mahakimi dunsanak/adiaknyo,salut :* @RaffiAhmadLagi",positive
indolem-train-1958,Lantai ba abu,negative
indolem-train-1144,"Calon Pamimpin KPK Usulan SBY Ditulak, Demokrat Protes Jokowi http://bit.ly/17XWoY3  #InfoAceh",negative
indolem-validation-125,minusnyo ac nyo lamo dingin nyo,negative
indolem-train-128,#VENEWS Padusi Golkar Makassar Dibekali Ilmu Keprotokoleran : Pelatihan iko manampak an ? http:goog.gl/fb/RGqk8b,positive
indolem-train-142,Suko bana pakai airy.... dihotelnyo nyaman lo emang cuma sinyalnyo yang susah tp palayanannyo suko jo harago sagitu cucp abih bsuak den pakai airy liak kalu pasan2 hotel,positive
indolem-train-1225,"Dibiliak ndak pasang keset dan tampek sarok, anduak indak diganti, biliak kalam dan kurang barasiah (lantai& aleh kasue), kamar mandi aienyo mangganang cukuik lamo, panyangkuik shower usak sahinggo harus dipacik tangan. Lokasi dakek CGV.",negative
indolem-test-35,Pemain Arsenal pakai baju Batiak.,positive
indolem-train-3023,"Dapek biliak 201, lampu muko toilet mati, kunci biliak manual dan payah dikunci, aie angek indak bisa dipakai",negative
indolem-train-2903,nyaman sih tapi toilet kurang barasiah se....,negative
indolem-train-2425,palayanan kurang elok...manginap 2 malam cuma dapek makanan ketek+aia putiah sakali..harusnyo 2 kali,negative
indolem-train-632,Akhir nyo punyo juo lagu iko ????? ? Knock Me Out oleh Afgan ? https://path.com/p/3qMrK8,positive
indolem-test-420,#newspertamalampung Politikus Partai Golkar Bambang Soesatyo manduga ado deal antaro Presiden Joko Widodo deng.... http://bit.ly/18b9QYI,negative
indolem-train-1250,"Soleh 'Panghancue' Demokrat"""" oleh @TPK_RI http://chirpstory.com/li/242065 ",negative
indolem-test-842,Shemomedjamo tu istilah dari Jerman nan barati Angku alah kanyang tapi indak baranti makan dek makannyo talampau malam.,negative
indolem-train-157,#Berita #Nasional | Demokrat niai keputusan presiden agiah kapastian: Sekretaris Fraksi? http://goo.gl/fb/5bWfLp,positive
indolem-train-1818,Satangah jam lai? Ndak sabaaaaaaaaaaa?? ? Sabar oleh Afgan ? https://path.com/p/2fOn1c,negative
indolem-train-2740,wifi tolong dipelokan.. ado 2 nan ciek sakali indak ado internet ciek lai ndak stabil sinyalnyo..,negative
