id,ind_text,tgt_text
indolem-test-226,"suatu hari,akan ada saatnya bangun pagi yang dicari bukan hp lagi,akan tetapi tangan seseorang yang sangat kita sayangi","sabua nai,'dima wara waktuna tu'u si'di 'di ngupa laina hp wali,pala rima dou ma meci poda 'ba ndai"
emot-train-2952,"KALAU BENAR DAN TERBUKTI.....TANGKAP BIANGNYA, BUBARKAN PARTAINYA......!!!!!","NA NCIHI LABO TERBUKTI SI..... WA'UPO TUTANA, KAMBORAPU PARTAINA......!!!!!"
indolem-test-333,"malam minggu kemana kakkkkkkk ? makan bubur ayam di sebelah kantor polisi sama mamah ayah adek, sedih gak ? gue ... http://ask.fm/a/bmqmnb07 ","amanga'di ahad ta'be kakkkkkkk ? ngaha bubur janga ta kompe kantor polisi labo ina ama ari, wati sadi ? nahu ... http://ask.fm/a/bmqmnb07 "
indolem-train-149,"Afgan ... """"@evyzra: Dia, dia, dia~ """"@kristwianto: Jakarta cerah? Dia ada di Jakarta. Kayaknya gitu.","Afgan ... """"@evyzra: Sia, sia, sia~ """"@kristwianto: Jakarta taroa? Sia wara ta Jakarta. Ambina ndede."
indolem-train-1545,Wifi nya nda aktif,Wifi na wati aktif
indolem-test-1003,#JombloItuBahagia - mendingan pergi aja / bertahan tapi nyesek terus ?,#JombloReSana - tahopu lao / midi pala pili edempara ?
emot-train-2414,"Aduh pemotor jgn suka ngerumpi di atas fly over daan mogot dong, macet tauk [USERNAME] [USERNAME] [USERNAME] [USERNAME]","Alae ma wa'a honda aina ca'u nuntu ta ese fly over labo mogot dong, macet tauk [USERNAME] [USERNAME] [USERNAME] [USERNAME]"
indolem-train-73,Seorang pria pergi ke kamar mandi umum cuma untuk satu alasan. Namun wanita menggunakan kamar mandi sebagai ruang terapi & pertemuan sosial.,Dou mone lao ta uma ndeu umum cuma ru'u sabua alasan. Pala siwe kani uma ndeu sebagai bili terapi & eda kai angi.
indolem-train-3189,Demokrat Protes Pimpinan KPK Usulan SBY Tak Dipilih Jokowi http://dlvr.it/8f2FVb  #Kabari,Demokrat Parotes Lebe KPK Kalu'u SBY Wati Kadale Jokowi http://dlvr.it/8f2FVb  #Kabari
emot-train-1120,"Tidak ada kepastian yang kuinginkan dari dirimu Asal tahun depan ku bisa pergi ke laut denganmu yang polos ~kachuusha @ Daplangu Beach, Ujung Kulon Island [URL]","Wati wara kepastian la kane'e dari nggomi Surampa mba'a makento nahu loa lao ta moti labo nggomi ma rombo ~kachuusha @ Daplangu Beach, Ujung Kulon Island [URL]"
indolem-train-988,"kakak besok sekolah lagi yah"""", kata salah satu krucil @SBMatahari sambil tersenyum manis pagi ini *then i'm melting~~ :"""")","sa'e naisi sakola wali yah"""", nggahi sabua krucil @SBMatahari sambil sarome maci amasi'di ake *depara leli adeku~~:"""")"
emot-test-37,"BESOK UDAH MULAI KERJA YAAMPUN, DAG DIG DUG TAKUT SUSAH BANGUN UDAH MULAI KERJA JAM 6 PAGI, SAMPE BIKIN ALARM KAYA GINI TAKUT GA BISA BANGUN PFFFT. [URL]","NAIS WAURA TAMPU'U KARAWI YAAMPUN, DAG DIG DUG DAHU NCOKI TU'U WAURA TAMPU'U KARAWI JAM 6 AMASI'DI, HAMPA NDAWI ALARM BUNE NDAKE DAHU TO LOA TU'U PFFFT. [URL]"
