id,ind_text,tgt_text
indolem-train-818,"hobi banget ngapain? ? selfie , sama mainan hp wkw belajar juga sih tapi gak keseringan bgt wkw http://ask.fm/a/c0dmqfll ","hobi bana manga? ? Kodak, samo mainan hp wkwk baraja juo sih tapi indak ka acokan bana wkwk http://ask.fm/a/c0dmqfll"
indolem-train-841,Thanks babes for coming @FNHaziqah_ @FtinAtighah @___szr. baju dh santek mai posing hancoq ? #HasnolAnisSolemnization,Makasi alah tibo beb  @FNHaziqah_ @FtinAtighah @___szr. baju lah santai mai bagaya hancoq ? #HasnolAnisSolemnization
indolem-test-540,"Lumayan nyaman, cuma ac kurang dingin dan kebersihan perlu ditingkatkan","Lumayan nyaman, cuma ac kurang dingin dan kabarasihan paralu di tingkekan"
emot-train-1744,Dear [USERNAME] sang penerima penghargaan Travel and Tourism Awards dan Predilat LCC Bintang 4 Skytrax! Saya sdh berkali2 telpon call center dan email pengaduan ke customer care dgn nomor pengaduan 239835 dan RSV229808 kenapa complain sy tdk ditindak lanjuti??,Dear [USERNAME] sang panarimo penghargaan Travel and Tourism Awards dan Predikat LCC Bintang 4 Skytrax! Ambo lah bakali-kali telpon call center dan email pangaduan ka costumer care jo nomor pangaduan 239835 dan RSV229808 dek a complain ambo indak ditindak lanjuti??
indolem-test-157,Demokrat nilai Jokowi beri bukti bukan janji http://tinyurl.com/n73ony5,Demokrat nilai Jokowi agiah bukti indak janji http://tinyurl.com/n73ony5
indolem-train-367,dalam gelap takkan kutinggalkan?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/2tBOp6,dalam galok ndakkan ambo tinggaan?? ? Untukmu Aku Bertahan oleh Afgan ? https://path.com/p/2tBOp6
indolem-train-2606,"kamarnya kotor,tidak ada tissue dan tempat sampah. lampu tidur dikamar juga mati,selimutnya hanya setengah badan saja.","Biliaknyo kumuah, indak ado tissu jo tampek sarok. lampu lalok di biliak mati juo, salimuiknyo hanyi satangah badan se."
indolem-train-992,Kamulah Takdirku - Single by Raffi Ahmad & Nagita Slavina https://itun.es/id/M8Jr5,angkaulah Takdir ambo - Single dari Raffi Ahmad & Nagita Slavina https://itun.es/id/M8Jr5
emot-train-248,"Wa inii ... mantep nii Wa inii, wa inii tok, dari kemarin jg belum nonton deadpool, han solo gr"" gaada temen kasian ! Dasar miskin, gapunya temen ! [URL]","Wa ikoo ... Rancak koo. Wa ikoo tok, dari kapatang alun jo nonton deadpool, han solo gr"" ndak ado kawan yang ibo ! Dasar bansaek, ndak punyo kawan ! [URL]"
indolem-train-546,Cara Atur Pola Makan Bagi Ibu Menyusui Agar Cepat Turun Berat Badan http://tinyurl.com/qbbptuz,Caro atur Pola Makan Bagi Ibu Manyusui Agar Capek Turun Barek Badan http://tinyurl.com/qbbptuz
emot-train-3261,"Hanya modal walikota Solo,bgmn mungkin bs menaklukkan belantara Jkrta.Dan disusul bs menaklukkan Nusantara.Dia sendirian?.Tanpa dukungan TAIPAN,dan media sosial,Mustahil.Konsekwensi:dikomando taipan. [URL]","Hanyo modal walikota Solo, baa mungkin bisa manakluakan balantaro Jakarta. Dan disusul bisa manakluakan Nusantara.Inyo surang?.Tanpa dukuangan TAIPAN,dan media sosial,Mustahil.Konsekwensi dikomando taipan. [URL]"
emot-train-1415,"Berada di lingkungan yang berisi orang-orang hebat itu akan menyadarkan kita betapa pentingnya upgrade diri dan jadi OUT STANDING! Salah satunya duta bahasa, kemampuan mereka itu wow bgt!","Barado di lingkungan nan barisi urang-urang santiang tu akan manyadaran awak betapa pentingnyo maningkek an diri dan jadi LUAR BIASO! Salah satunyo duta bahasa, kemampuan urang-urang tu wow bana!"
emot-test-3,"Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...","Kamerdekaan adolah hak sagalo bangsa ... (Kec Yahudi, Kurdi , Catalonia , Koptik ) sabagaimano kito manutuik mato taadok Panjajahan Yaman jo Qatae. Artinyo standar gando ..."
indolem-train-2085,"yang perlu diperbaiki : pelayanan kurang ramah , perlengkapan seperti handuk,air minum snack dr airy tdk di kasih walaupun menginap lebih dr 3 !","nan paralu dipelokan : palayanan kurang ramah, perlengkapan saparti handuak, aia minum camilan dari airy indak di agiah walaupun manginamp labiah dari 3 !"
indolem-test-601,televisi nyaa buremmm,tipi nyo kabue.
emot-train-1137,"Kepada jamaah Masjid Al Kautsar , Dikarenakan Nasi tumpeng ayam matang sebelum waktunya, maka dengan ini pengajian tafsir masjid Al Kautsar di ajukan hari ini. Aya aya wae...#Ramadhan berkah","kapado jamaah masajik al kautsar, dikaranokan nasi tumpang ayam matang sabalum waktunyo, mako dengan iko pangajian tafsir masajik al kautsar di ajuan hari ko. ado ado se...#ramadhan barokah"
indolem-train-1915,"#BreakingNews: Aneh, Mengapa Menkumham Standar Ganda Pengesahan Pengurus PPP dan Golkar? http://tinyurl.com/lagcrks ","#BeritoTakini : Aneh, Manga Menkumham Standar Ganda Pengesahan Panguruih PPP dan Golkar? http://tinyurl.com/lagcrks "
indolem-test-14,Syahrini Pakai Batik ke Kantor Tribun Timur Makassar http://bit.ly/1LFbeRf,Syahrini Pakai Batiak ka Kantua Tribun Timur Makassar http://bit.ly/1LFbeRf
